Odin kazak lišʹ golovu sklonil.\n	Šli po stepi polki kazačʹi s Donu,\n_\nOj, zaskučal odin kazak po domu\nKonju na grivu povod uronil.\nÈh, razletalisʹ kudri vrassypnuju.\n
Oj, zaskučal odin kazak po domu\n	Šli po stepi polki kazačʹi s Donu,\nOdin kazak lišʹ golovu sklonil.\n_\nKonju na grivu povod uronil.\nÈh, razletalisʹ kudri vrassypnuju.\n
Konju na grivu povod uronil.\n	Šli po stepi polki kazačʹi s Donu,\nOdin kazak lišʹ golovu sklonil.\nOj, zaskučal odin kazak po domu\n_\nÈh, razletalisʹ kudri vrassypnuju.\n
Èh, razletalisʹ kudri vrassypnuju.\n	Šli po stepi polki kazačʹi s Donu,\nOdin kazak lišʹ golovu sklonil.\nOj, zaskučal odin kazak po domu\nKonju na grivu povod uronil.\n_\n
O dome dumka mučila ego.\n	_\nÈh, v dalʹ gljadel on sinjuju stepnuju,\nA v toj dali ne vidno ničego.\nTrjahnul kazak čubatoj golovoju\nSkazal svoim tovariŝam s toskoj:\n"Èh, izbolelosʹ serdce molodoe,\nOj, kak mne bratcy, hočetsja domoj"\n
Èh, v dalʹ gljadel on sinjuju stepnuju,\n	O dome dumka mučila ego.\n_\nA v toj dali ne vidno ničego.\nTrjahnul kazak čubatoj golovoju\nSkazal svoim tovariŝam s toskoj:\n"Èh, izbolelosʹ serdce molodoe,\nOj, kak mne bratcy, hočetsja domoj"\n
A v toj dali ne vidno ničego.\n	O dome dumka mučila ego.\nÈh, v dalʹ gljadel on sinjuju stepnuju,\n_\nTrjahnul kazak čubatoj golovoju\nSkazal svoim tovariŝam s toskoj:\n"Èh, izbolelosʹ serdce molodoe,\nOj, kak mne bratcy, hočetsja domoj"\n
Trjahnul kazak čubatoj golovoju\n	O dome dumka mučila ego.\nÈh, v dalʹ gljadel on sinjuju stepnuju,\nA v toj dali ne vidno ničego.\n_\nSkazal svoim tovariŝam s toskoj:\n"Èh, izbolelosʹ serdce molodoe,\nOj, kak mne bratcy, hočetsja domoj"\n
Skazal svoim tovariŝam s toskoj:\n	O dome dumka mučila ego.\nÈh, v dalʹ gljadel on sinjuju stepnuju,\nA v toj dali ne vidno ničego.\nTrjahnul kazak čubatoj golovoju\n_\n"Èh, izbolelosʹ serdce molodoe,\nOj, kak mne bratcy, hočetsja domoj"\n
"Èh, izbolelosʹ serdce molodoe,\n	O dome dumka mučila ego.\nÈh, v dalʹ gljadel on sinjuju stepnuju,\nA v toj dali ne vidno ničego.\nTrjahnul kazak čubatoj golovoju\nSkazal svoim tovariŝam s toskoj:\n_\nOj, kak mne bratcy, hočetsja domoj"\n
Oj, kak mne bratcy, hočetsja domoj"\n	O dome dumka mučila ego.\nÈh, v dalʹ gljadel on sinjuju stepnuju,\nA v toj dali ne vidno ničego.\nTrjahnul kazak čubatoj golovoju\nSkazal svoim tovariŝam s toskoj:\n"Èh, izbolelosʹ serdce molodoe,\n_\n
Leti skorej doroženʹka-doroga,\n	_\nRazvej kazačʹju dumu i tosku.\nÈh, na dyby podnjal konja lihogo\nI svistnul sablej ostroj na skaku.\n
Razvej kazačʹju dumu i tosku.\n	Leti skorej doroženʹka-doroga,\n_\nÈh, na dyby podnjal konja lihogo\nI svistnul sablej ostroj na skaku.\n
Èh, na dyby podnjal konja lihogo\n	Leti skorej doroženʹka-doroga,\nRazvej kazačʹju dumu i tosku.\n_\nI svistnul sablej ostroj na skaku.\n
I svistnul sablej ostroj na skaku.\n	Leti skorej doroženʹka-doroga,\nRazvej kazačʹju dumu i tosku.\nÈh, na dyby podnjal konja lihogo\n_\n
A po stepi polki so slavoj gromkoj\n	_\nVse šli i šli spevaja solovʹem.\nKovylʹnaja, rodimaja storonka,\nPrimi ot krasnyh konnikov poklon.\n
Vse šli i šli spevaja solovʹem.\n	A po stepi polki so slavoj gromkoj\n_\nKovylʹnaja, rodimaja storonka,\nPrimi ot krasnyh konnikov poklon.\n
Kovylʹnaja, rodimaja storonka,\n	A po stepi polki so slavoj gromkoj\nVse šli i šli spevaja solovʹem.\n_\nPrimi ot krasnyh konnikov poklon.\n
Primi ot krasnyh konnikov poklon.\n	A po stepi polki so slavoj gromkoj\nVse šli i šli spevaja solovʹem.\nKovylʹnaja, rodimaja storonka,\n_\n
